club,last_name,first_name,position,base_salary,guaranteed_compensation,
ATL,Almiron,Miguel,M,1912500,2297000,Miguel Almiron
ATL,Ambrose,Mikey,D,65625,65625,Mikey Ambrose
ATL,Asad,Yamil,M,150000,150000,Yamil Asad
ATL,Bloom,Mark,D,99225,106573.89,Mark Bloom
ATL,Carleton,Andrew,F,65000,77400,Andrew Carleton
ATL,Carmona,Carlos,M,675000,725000,Carlos Carmona
ATL,Garza,Greg,D,150000,150000,Greg Garza
ATL,Gonzalez Pirez,Leandro,D,250008,285008,Leandro Gonzalez Pirez
ATL,Goslin,Chris,M,70000,74000,Chris Goslin
ATL,Gressel,Julian,M,75000,93750,Julian Gressel
ATL,Heath,Harrison,M,66150,66150,Harrison Heath
ATL,Jones,Kenwyne,F,390000,413333.33,Kenwyne Jones
ATL,Kann,Alec,GK,77004,77004,Alec Kann
ATL,Kratz,Kevin,M,150000,164250,Kevin Kratz
ATL,Larentowicz,Jeff,M,175008,175008,Jeff Larentowicz
ATL,Loyd,Zach,D,85008,85008,Zach Loyd
ATL,Martinez,Josef,F,924000,1041310,Josef Martinez
ATL,McCann,Chris,M,540000,568000,Chris McCann
ATL,Mears,Tyrone,D,183756,183756,Tyrone Mears
ATL,Oblitey Otoo,Jeffrey,M-F,53000,53000,Jeffrey Oblitey Otoo
ATL,Parkhurst,Michael,D,325008,325008,Michael Parkhurst
ATL,Peterson,Jacob,F,165300,165300,Jacob Peterson
ATL,Reynish,Kyle,GK,65004,65004,Kyle Reynish
ATL,Robinson,Miles,D,125000.04,195000.04,Miles Robinson
ATL,Rochez,Bryan,F,200000,279500,Bryan Rochez
ATL,Tambakis,Alexander,GK,65004,65004,Alexander Tambakis
ATL,Vazquez,Brandon,F,100008,120008,Brandon Vazquez
ATL,Villalba,Hector,F,663000,770750,Hector Villalba
ATL,Walkes,Anton,D,53004,53004,Anton Walkes
ATL,Wheeler-Omiunu,Andrew,M,53004,53004,Andrew Wheeler-Omiunu
ATL,Williams,Romario,F,65000,65000,Romario Williams
CHI,Accam,David,F-M,750000,820937.5,David Accam
CHI,Alvarez,Arturo,M,135000,142500,Arturo Alvarez
CHI,Arshakyan,David,F,156000,178850,David Arshakyan
CHI,Bronico,Brandt,M,65004,65004,Brandt Bronico
CHI,Calistri,Joey,M,54075,54075,Joey Calistri
CHI,Campbell,Jonathan,D,101750,109875,Jonathan Campbell
CHI,Cleveland,Stefan,GK,53004,53004,Stefan Cleveland
CHI,Conner,Drew,M,65625,65625,Drew Conner
CHI,De Leeuw,Michael,F,500000,564212.5,Michael De Leeuw
CHI,Dekovic,Matej,D,65004,65004,Matej Dekovic
CHI,Doody,Patrick,D,65000,65000,Patrick Doody
CHI,Fernandez,Collin,M,85000,87000,Collin Fernandez
CHI,Goossens,John,M,230000,233333.33,John Goossens
CHI,Harrington,Michael,D,135000,135000,Michael Harrington
CHI,Johnson,Daniel,M,65004,65004,Daniel Johnson
CHI,Juninho,,M,700008,716674.67, Juninho
CHI,Kappelhof,Johan,D,530000,570000,Johan Kappelhof
CHI,Lampson,Matt,GK,76000,81375,Matt Lampson
CHI,McCarty,Dax,M,400000,500000,Dax McCarty
CHI,Meira,Joao,D-M,150000,165000,Joao Meira
CHI,Mihailovic,Djordje,M,80000.04,80000.04,Djordje Mihailovic
CHI,Nikolic,Nemanja,F,1700000.04,1906333.37,Nemanja Nikolic
CHI,Polster,Matt,M,99900,114900,Matt Polster
CHI,Rodrigo Bava,Jorge,GK,240000,267133.34,Jorge Rodrigo Bava
CHI,Schweinsteiger,Bastian,M,5400000,5400000,Bastian Schweinsteiger
CHI,Solignac,Luis,F,274999.92,328312.42,Luis Solignac
CHI,Vincent,Brandon,D,96250,118125,Brandon Vincent
CLB,Abu,Mohammed,M,165000,171250,Mohammed Abu
CLB,Abubakar,"Alhassan ""Lalas""",D,65000.04,72500.04,"Alhassan ""Lalas"" Abubakar"
CLB,Afful,Harrison,D,280000,296666.67,Harrison Afful
CLB,Crognale,Alex,D,84996,84996,Alex Crognale
CLB,De Lima Junior,Artur,M,80004,99879,Artur De Lima Junior
CLB,Duka,Dilly,M,175000,175000,Dilly Duka
CLB,Finlay,Ethan,M,290000,290000,Ethan Finlay
CLB,Francis,Waylon,D,227500,251875,Waylon Francis
CLB,Hansen,Nikolaj,F,65000.04,72500.04,Nikolaj Hansen
CLB,Higuain,Federico,M,1050000,1050000,Federico Higuain
CLB,Hollingsworth,Marshall,M,54075,54075,Marshall Hollingsworth
CLB,Jahn,Adam,F,92500,92500,Adam Jahn
CLB,Jimenez,Hector,M,150000,150000,Hector Jimenez
CLB,Kamara,Ola,F,450000,482500,Ola Kamara
CLB,Ketterer,Logan,GK,53004,53004,Logan Ketterer
CLB,Maloney,Connor,D,53004,53004,Connor Maloney
CLB,Manneh,Kekuta,M-F,138875,168375,Kekuta Manneh
CLB,Martinez,Cristian,M,65633.4,70133.4,Cristian Martinez
CLB,Mensah,Jonathan,D,750000,844000,Jonathan Mensah
CLB,Meram,Justin,M,300000,328750,Justin Meram
CLB,Naess,Nicolai,D,235000,242500,Nicolai Naess
CLB,Obinwa,Abuchi,M,65004,65004,Abuchi Obinwa
CLB,Raitala,Jukka,D,125004,161670.67,Jukka Raitala
CLB,Saravia,Rodrigo,M,65625,65625,Rodrigo Saravia
CLB,Sauro,Gaston,D,585000,601312.5,Gaston Sauro
CLB,Steffen,Zack,GK,105000,105000,Zack Steffen
CLB,Stuver,Brad,GK,80004,80004,Brad Stuver
CLB,Swanson,Ben,M,85000,105416.67,Ben Swanson
CLB,Trapp,Wil,M,300000,350000,Wil Trapp
CLB,Williams,Josh,D,110004,110004,Josh Williams
COL,Adjei-Boateng,Bismark,M,300000,341246,Bismark Adjei-Boateng
COL,Azira,Michael,M,110000,116625,Michael Azira
COL,Badji,Dominique,F,65000,65000,Dominique Badji
COL,Berner,John,GK,66150,66150,John Berner
COL,Burling,Bobby,D,120000,126000,Bobby Burling
COL,Calvert,Caleb,F,100000,107500,Caleb Calvert
COL,Castillo,Dennis,D,54075,54075,Dennis Castillo
COL,Da Fonte,Mike,D,65004,65004,Mike Da Fonte
COL,Doyle,Kevin,F,1000000,1045000,Kevin Doyle
COL,Ford,Kortne,D,69996,76996,Kortne Ford
COL,Gashi,Shkelzen,F,1575000,1668750,Shkelzen Gashi
COL,Gatt,Joshua,M,175008,193508,Joshua Gatt
